                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50165,                 1.7863,                   1.13,                 0.8326,                0.84127,                0.83512,                0.66429,                0.76604,                 1.9261,                 1.2192,             0.00054905,             0.00054905,             0.00054905
                      2,                0.39887,                 1.0529,                 1.0204,                 0.7695,                0.84127,                0.80948,                0.49481,                 1.0117,                 1.8767,                 1.2235,               0.001061,               0.001061,               0.001061
                      3,                0.44661,                0.94142,                 1.0468,                 0.9118,                0.96825,                0.96322,                0.73825,                0.68501,                 1.3283,                0.75813,              0.0015289,              0.0015289,              0.0015289
                      4,                0.41945,                0.86758,                 1.0342,                0.98932,                      1,                  0.995,                0.96347,                0.45371,                0.77934,                0.72846,               0.001469,               0.001469,               0.001469
                      5,                0.39761,                0.82463,                 1.0168,                0.80684,                 0.9283,                  0.927,                 0.8048,                0.55997,                 1.2372,                0.78145,               0.001469,               0.001469,               0.001469
                      6,                0.35417,                0.70092,                 0.9832,                0.97739,                0.98413,                0.99422,                 0.9755,                0.43446,                0.81678,                0.65748,              0.0014029,              0.0014029,              0.0014029
                      7,                0.33938,                0.66315,                0.97196,                0.99524,                      1,                  0.995,                0.98586,                0.45042,                 0.5432,                0.62879,              0.0013369,              0.0013369,              0.0013369
                      8,                0.31856,                0.58893,                0.96298,                0.98376,                0.96149,                0.99224,                0.93796,                0.38927,                0.66928,                0.56132,              0.0012709,              0.0012709,              0.0012709
                      9,                0.30017,                0.54929,                0.95388,                0.99436,                      1,                  0.995,                0.95761,                0.42116,                0.74838,                0.56133,              0.0012049,              0.0012049,              0.0012049
                     10,                0.29137,                0.52662,                 0.9651,                0.99884,                      1,                  0.995,                0.98436,                0.28508,                0.45922,                0.41965,              0.0011389,              0.0011389,              0.0011389
                     11,                0.27256,                0.50479,                0.93795,                0.97979,                0.95238,                0.99013,                0.96607,                0.37714,                0.51987,                0.51044,              0.0010729,              0.0010729,              0.0010729
                     12,                0.25207,                0.47273,                0.93919,                0.99504,                      1,                  0.995,                0.98182,                0.30601,                0.46869,                0.46311,              0.0010069,              0.0010069,              0.0010069
                     13,                0.25308,                0.47222,                0.94409,                 0.9513,                0.96825,                0.99079,                0.91756,                0.32392,                0.57549,                 0.5414,             0.00094085,             0.00094085,             0.00094085
                     14,                0.22896,                0.41151,                0.92054,                0.99821,                      1,                  0.995,                  0.995,                0.34245,                0.43859,                0.50833,             0.00087484,             0.00087484,             0.00087484
                     15,                0.23669,                0.43026,                0.93609,                0.96969,                      1,                0.99328,                0.97753,                0.26627,                0.47746,                0.36461,             0.00080883,             0.00080883,             0.00080883
                     16,                 0.1862,                0.39436,                0.91594,                0.98156,                      1,                  0.995,                0.97373,                0.32499,                0.77174,                0.44338,             0.00074282,             0.00074282,             0.00074282
                     17,                0.18966,                0.34826,                0.91138,                0.99913,                      1,                  0.995,                0.99401,                0.29763,                0.45997,                0.49475,              0.0006768,              0.0006768,              0.0006768
                     18,                0.17075,                0.28257,                0.89139,                0.99913,                      1,                  0.995,                  0.995,                0.27438,                0.36607,                0.37647,             0.00061079,             0.00061079,             0.00061079
                     19,                0.16407,                0.27388,                 0.8931,                0.99922,                      1,                  0.995,                  0.995,                0.25326,                0.32918,                0.37294,             0.00054478,             0.00054478,             0.00054478
                     20,                0.14842,                0.23717,                0.89523,                0.99908,                      1,                  0.995,                  0.995,                 0.2883,                 0.3701,                0.43762,             0.00047876,             0.00047876,             0.00047876
                     21,                0.13698,                0.22088,                0.88877,                0.99918,                      1,                  0.995,                  0.995,                0.23931,                0.33973,                0.34568,             0.00041275,             0.00041275,             0.00041275
                     22,                0.13296,                0.20782,                 0.8829,                0.99918,                      1,                  0.995,                0.99405,                 0.2109,                0.32577,                0.33474,             0.00034674,             0.00034674,             0.00034674
                     23,                0.11574,                0.18303,                0.87833,                 0.9992,                      1,                  0.995,                  0.995,                0.23378,                0.36099,                0.36491,             0.00028072,             0.00028072,             0.00028072
                     24,                0.10835,                0.17773,                0.87304,                0.99917,                      1,                  0.995,                  0.995,                0.24259,                0.37064,                0.35631,             0.00021471,             0.00021471,             0.00021471
                     25,                0.10827,                0.17129,                0.85989,                0.99919,                      1,                  0.995,                  0.995,                0.23949,                0.32793,                 0.3611,              0.0001487,              0.0001487,              0.0001487
